date,benchmark_hs300,global_60_40,classic_all_weather,dynamic_risk_parity,smart_all_weather
2018-05-14,1174282.8782436238,1383396.6565571018,1323944.6889681239,1340876.9064636203,1321965.0132008807
2018-05-15,1179627.3998056222,1383600.0442125453,1323963.9920320697,1340029.2055505589,1321036.553963266
2018-05-16,1168225.8213693148,1378395.131906311,1318082.3950962564,1336498.0046610013,1317649.8947367133
2018-05-17,1156467.9429347024,1377746.1196384025,1315475.2279206838,1334122.073274949,1314844.8280812234
2018-05-18,1171432.5645017843,1383753.2074088221,1321343.5283315196,1337376.3742237268,1318446.0326806493
2018-05-21,1178202.2860705615,1391005.7952175732,1325491.0287423877,1340745.2751725789,1321856.8372804367
2018-05-22,1172501.5076410333,1387284.2830646588,1323149.529153288,1340370.7761215058,1321281.7418805854
2018-05-23,1154330.2292132003,1379088.0709500816,1316958.029564221,1336165.877070507,1316634.9464810959
2018-05-24,1143284.9507870628,1378264.6588738451,1315778.829975186,1337264.4780195828,1317444.2510819675
2018-05-25,1140078.2723626203,1379388.146835952,1317690.130386183,1338540.4789687332,1318581.4556832009
2018-05-28,1148629.4939398735,1381114.4348364053,1317721.9307972128,1337930.9799179584,1318214.9602847956
2018-05-29,1135802.7155188222,1376521.3228752082,1314587.8312082747,1334578.1808672582,1314664.4648867524
2018-05-30,1110149.137099467,1363525.0109523635,1304601.6316193687,1327677.4818166322,1307245.8694890707
2018-05-31,1137227.9586818076,1377719.3990678743,1316063.2320304953,1334491.3827660813,1314562.0740917504
2018-06-01,1127964.180265844,1373374.8872217438,1312288.9324416541,1332377.5837156046,1312446.4786947921
2018-06-04,1141147.301851577,1384927.3754139747,1318900.2328528452,1337187.8846652028,1317746.3832981954
2018-06-05,1152548.9234390059,1391911.96364457,1323408.533264069,1340018.3856148755,1320787.5879019606
2018-06-06,1150054.8450281313,1390591.151913533,1322479.7336753246,1339690.186564623,1320411.2925060873
2018-06-07,1149698.5666189536,1392626.5402208667,1322664.7340866125,1340687.4875144446,1321521.2971105762
2018-06-08,1131527.2882114723,1382012.028566574,1314309.834497933,1335238.4884643413,1315533.9017154267
2018-06-11,1135090.309805688,1386834.7169506578,1317489.7349092856,1337715.1894143126,1317951.506320639
2018-06-12,1148629.7314016006,1392831.305373121,1321982.6353206707,1339792.6903643587,1320314.8109262134
2018-06-13,1134734.0529992103,1391513.5938339673,1319873.135732088,1337361.3913144793,1317630.5155321495
2018-06-14,1131171.0745985173,1387849.7511931993,1318464.8724235378,1335702.6852446746,1315814.2868584478
2018-06-15,1129033.296199522,1392263.0726966623,1320797.8812150257,1336939.9056284488,1317355.1912581718
2018-06-19,1082714.3178022236,1370547.3943118344,1301841.1900072042,1321651.126013825,1303138.2956582417
2018-06-20,1082714.339406623,1373622.3160387236,1302416.598800074,1323443.4464008033,1304953.3000586573
2018-06-21,1072025.3610127205,1375453.5378773394,1300411.6075936349,1321823.8667893836,1303825.9044594185
2018-06-22,1077726.1826205156,1373800.9598276904,1300890.6163878867,1323203.9871795664,1304998.1088605258
2018-06-25,1059554.9042300088,1369009.2818897848,1296732.9251828296,1321516.9075713512,1303602.7132619787
2018-06-26,1047084.4258412005,1357879.6040636322,1288612.5339784636,1318351.3279647387,1300409.9176637777
2018-06-27,1017155.2474540903,1345472.526349241,1278706.7427747888,1312221.0483597287,1294619.3220659227
2018-06-28,1010029.2690686785,1336917.8487466204,1271185.051571805,1306160.3687563213,1288748.7264684134
2018-06-29,1042452.5906849651,1359521.1712557783,1289205.360369513,1321546.9891545172,1303602.2308712502
2018-07-02,1008960.4123029507,1342425.5938767241,1274530.169167912,1313215.609554316,1295893.235274433
2018-07-03,1004328.5339226351,1351500.0166094666,1278432.0779670025,1318021.7299557177,1300792.9396779616
2018-07-04,991501.7555440185,1343412.2394540145,1274268.9867667847,1314591.3503587225,1297461.5440818365
2018-07-05,981525.3771671009,1342000.6624103764,1272139.1955672582,1312973.670763331,1296246.3484860575
2018-07-06,991858.0987918827,1350500.8854785615,1278347.2043684234,1317026.091169543,1300262.1528906245
2018-07-09,1027131.8204183639,1371645.6086585782,1294038.2131702802,1326876.5115773585,1309646.7572955375
2018-07-10,1030338.5420465444,1376435.2319504353,1296243.9219728287,1327766.6319867775,1310533.361700797
2018-07-11,1009673.1636764247,1364472.8553541417,1287232.230776069,1321979.852397801,1305135.7661064027
2018-07-12,1039246.0853080046,1378383.9788697064,1298146.839580001,1329257.8728104278,1311874.270512354
2018-07-13,1041383.9069412848,1380847.573617138,1299433.0029246248,1330249.218884659,1312948.476358652
2018-07-16,1036039.4285762646,1377943.6489753786,1297791.6122764626,1330331.6340137445,1313110.2967495867
2018-07-17,1028200.8502129448,1372320.1243709754,1293682.2216290357,1327717.0491440187,1310646.0171421238
2018-07-18,1022500.0718513255,1378037.3998039311,1294876.1309823433,1327633.364275482,1310752.7375362632
2018-07-19,1023212.6934914064,1379622.4752742487,1296171.2403363863,1329979.5794081343,1313194.3579320055
2018-07-20,1047084.8151331879,1393083.9507819312,1308699.6496911643,1335811.994541976,1318327.0783293506
2018-07-23,1055279.7367766702,1398341.0263269811,1315207.4590466772,1339552.0096770069,1321659.5987282984
2018-07-24,1078795.5584218532,1410320.701909402,1323515.1684029256,1345363.6248132272,1327075.5191288495
2018-07-25,1078439.2800687372,1410988.3775291964,1323918.6777599093,1346121.039950637,1327836.7395310039
2018-07-26,1061693.2017173225,1408291.8531863675,1320884.787117628,1345726.1550892363,1327790.7599347613
2018-07-27,1058486.5233676091,1408816.328880918,1319749.8964760823,1345639.9702290255,1327832.680340122
2018-07-30,1051360.5450195968,1404564.6046128506,1317678.105835272,1343745.4853700043,1325936.4007470864
2018-07-31,1055992.4666732864,1400029.2803821692,1317329.2151951971,1342084.700512173,1323958.2211556546
2018-08-01,1027488.4883286774,1394013.9561888757,1309645.8245558578,1341025.7156555313,1323642.9415658265
2018-08-02,999697.1099857701,1381928.4320329735,1297826.6339172542,1334172.53080008,1317589.2619776025
2018-08-03,982594.731644565,1386928.9079144655,1298019.243279386,1336953.8459458188,1320828.5823909824
2018-08-06,970124.2533050616,1390799.7838333545,1297975.0526422537,1337999.7610927478,1322362.8028059665
2018-08-07,1003260.1749672607,1407274.8597896437,1312017.862005857,1345921.9762408668,1329599.823222555
2018-08-08,985445.196631162,1392136.7357833358,1300713.0713701965,1338958.9913901766,1322899.343640748
2018-08-09,1014305.5182967657,1397702.4118144338,1308121.7807352718,1341369.606540677,1324542.6640605454
2018-08-10,1016443.3399640721,1395713.994662941,1306366.0901010828,1339980.5810923676,1323080.4661619475
2018-08-13,1011098.8616330812,1389253.1016722983,1301920.4994676302,1337772.4206419443,1320572.7695934502
2018-08-14,1005754.383303793,1390731.8086822066,1300726.5088349134,1336617.8602967896,1319719.6730252227
2018-08-15,976537.8049762081,1382341.6156926658,1290453.0182029326,1331023.3000569113,1314367.976457265
2018-08-16,971549.6266503261,1372811.0227036758,1282449.9275716883,1323187.0399223182,1306640.5798895766
2018-08-17,953378.3483261473,1365651.5297152367,1273774.93694118,1316634.4798930183,1300336.1833221584
2018-08-20,965848.8700036721,1370463.2367273488,1279966.7463114082,1320824.8199690199,1304386.7867550098
2018-08-21,986157.9916829003,1375970.9437400117,1286735.0556823728,1324280.1601503312,1307614.5901881307
2018-08-22,984020.2133638323,1373797.3507532259,1284965.4650540734,1324216.1004369608,1307690.8936215215
2018-08-23,987583.2350464679,1379080.7577669912,1288626.174426511,1326752.5408289165,1310253.7970551825
2018-08-24,989364.7567308075,1381026.4647813076,1290729.3837996847,1327863.9813262068,1311385.1004891128
2018-08-27,1019650.2784168513,1395653.3717961754,1304108.1931735955,1335393.72192884,1318731.0039233135
2018-08-28,1016087.3001045991,1399356.5788115943,1306461.6025482423,1338595.1626368247,1321987.6073577835
2018-08-29,1011455.4217940513,1399677.6858275644,1305523.9119236262,1337857.9034501687,1321436.810792524
2018-08-30,999341.2434852079,1399053.6928440859,1303330.121299747,1337203.0443688803,1320946.314227534
2018-08-31,990077.4651780693,1395293.6998611588,1300966.4306766042,1336477.6853929681,1320210.4176628138
2018-09-03,987583.3868726352,1392591.4068787834,1298076.8400541984,1333418.8265224402,1317089.9210983638
2018-09-04,1001835.408568906,1399554.4138969593,1302905.5494325296,1334534.2677573047,1318291.024534184
2018-09-05,976894.4302668821,1387715.8209156867,1293262.7588115982,1329696.8090975701,1313412.027970274
2018-09-06,966561.751966563,1377733.9279349658,1286790.6681914034,1326639.6505432448,1310144.031406634
2018-09-07,974400.3736679492,1377921.735874796,1288707.5110519456,1327295.361034337,1310623.388323264
2018-09-10,957297.9953710409,1375387.1227918998,1284565.5162551373,1323915.867443806,1307829.287779449
2018-09-11,953022.4170758381,1373944.9097236926,1282847.721458738,1323452.2738537788,1307461.2872434496
2018-09-12,944827.5387823409,1375510.8966701753,1282912.2266627473,1323638.0802642554,1307969.5867152666
2018-09-13,957298.0604905497,1379168.483631349,1288202.8318671659,1327523.6866752359,1311315.5861949008
2018-09-14,959079.5822004642,1382941.670607215,1290669.3370719934,1329776.6930867198,1313686.3856823526
2018-09-17,948034.303912085,1378063.8575977746,1285527.8422772298,1325215.5994987078,1309521.6851776224
2018-09-18,970481.2256254118,1383008.6446030291,1292374.0474828754,1328188.2059111998,1311759.184680711
2018-09-19,986514.747340445,1393678.231622979,1301083.9526889299,1333737.5123241956,1316997.3841916192
2018-09-20,985802.169057185,1392872.618657626,1300450.1578953934,1334308.9187376953,1317603.7837103475
2018-09-21,1023569.9907756312,1414990.8057069713,1319423.8631022666,1345745.325151699,1328307.6832368965
2018-09-25,1011099.5124957843,1407998.3927710156,1313085.9683095485,1341556.931566207,1324391.8827712664
2018-09-26,1024638.9342176443,1416273.7798497605,1319945.2735172398,1346063.2379812188,1328749.1823134585
2018-09-27,1019294.4559412112,1413684.9669432067,1317770.5787253403,1342762.9443967347,1325578.0818634732
2018-09-28,1032121.2776664852,1423885.7540513559,1324319.58393385,1346186.750812755,1328982.981421311
2018-10-08,972619.1993934667,1392739.3411742088,1301928.489142769,1334963.3572292794,1318576.6809869725
2018-10-09,975113.3211221555,1392933.528311767,1301509.6943520978,1335023.163646308,1318721.7805604583
2018-10-10,974400.7428525517,1393254.715464031,1301032.7995618354,1333549.570063841,1317244.0801417693
2018-10-11,913117.1645846558,1344256.3026310026,1268099.0047719826,1311318.1764818782,1295633.8797309056
2018-10-12,934138.8863184677,1357103.0898126827,1280001.909982539,1321836.4829004197,1305789.9793278682
2018-10-15,917392.8080539874,1346753.0770090725,1273201.0526935053,1319096.1687594657,1303680.8395326578
2018-10-16,909910.5297912153,1343586.464220173,1269555.1529176843,1317223.8967214234,1302088.8643711738
2018-10-17,913829.8515301514,1358064.0514459857,1277447.1531418806,1323918.7247327298,1308108.98927451
2018-10-18,888888.8732707959,1345552.038686511,1267060.9533660945,1318164.0527933883,1303136.814242671
2018-10-19,917036.5950131488,1355818.2259417512,1279253.253590326,1324516.8809034028,1309043.9392756622
